Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Persona asignada,ID de la persona asignada,Informador,ID del informador,Prioridad,Estado,Resolución,Creada,Actualizada,Fecha de vencimiento
Historia,GMT-12,10018,"""Como estudiante del Tecnológico de Acapulco, quiero registrarme exclusivamente con mi correo institucional (@acapulco.tecnm.mx) para asegurar que solo alumnos legítimos accedan a las vacantes de residencia""",Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,En curso,,18/abr/26 1:04 AM,18/abr/26 1:46 AM,
Tarea,GMT-11,10017,Crear una pagina de Inicio (Home Dashboard) no funcional,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:15 AM,18/abr/26 12:25 AM,
Tarea,GMT-10,10016,Obtención del certificado SSL y dominio en Cloudflare,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:13 AM,18/abr/26 12:25 AM,
Error,GMT-9,10015,Debugging del login en producción,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:13 AM,18/abr/26 12:25 AM,
Tarea,GMT-8,10014,Configuración de base de datos PostgreSQL en AWS RDS,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:12 AM,18/abr/26 12:25 AM,
Tarea,GMT-7,10013,Crear una DB para satisfacer las peticiones de login,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:11 AM,18/abr/26 12:25 AM,
Error,GMT-6,10012,Debugging del login en producción,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:10 AM,18/abr/26 12:25 AM,
Tarea,GMT-5,10011,Despliegue de la aplicación en un servidor EC2 de Amazon AWS,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:09 AM,18/abr/26 12:24 AM,
Tarea,GMT-4,10010,Implementación de login con ASP.NET MVC,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:08 AM,18/abr/26 12:24 AM,
Tarea,GMT-3,10009,Proposición de entornos de desarrollo,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,18/abr/26 12:05 AM,18/abr/26 12:24 AM,
Tarea,GMT-2,10008,Lluvia de ideas para el diseño y servicios ofrecidos por GMT,,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,17/abr/26 11:56 PM,18/abr/26 12:24 AM,
Historia,GMT-1,10007,"""Los procesos burocráticos de mi instituto son poco prácticos de realizar""",,,Ariel Rubio,712020:8424767f-966a-4873-8ddb-0fd1fb9ef02e,Medium,Finalizada,Listo,17/abr/26 11:56 PM,18/abr/26 12:24 AM,
